risk_grade,number_of_accounts,total_ead,average_pd,average_lgd,total_ecl,impairment_ratio
A - Low Risk,1055,128419384.87907816,0.043070127608840963,0.25,1538205.8152736842,0.011977987721418261
B - Moderate Low Risk,2040,241727703.45216483,0.04939955301714692,0.35,4619105.331294357,0.01910871309050609
C - Moderate Risk,2906,347618742.23098916,0.05961025606777338,0.45,10188482.493723638,0.02930935894979303
D - High Risk,2430,293362426.3408019,0.06820143062524052,0.55,12014805.01623967,0.04095550055985001
E - Very High Risk,1569,191648362.67190495,0.08590844610276072,0.65,11408731.216022743,0.05952950005398208
